.Net1, Room 300, MVC Boot Camp. An introduction to developing applications with Microsoft ASP.NET MVC. ,Richard Flores, Improving Enterprises , What's New in ASP.NET MVC 5 ,Rob Vettor, Microsoft , Whats New in Entity Framework 6 ,Rob Vettor, Microsoft , Super-Productive XAML Development ,Markus Egger, CODE Magazine/EPS Software Corp. ,Building Killer Single- Page Apps with Durandal and ASP.NET Web API ,Brian Sullivan, Improving Enterprises,The Business of Software ,Jason Awbrey, PostDotNet Consulting
 .Net2, Room 301 , Performance Testing with Visual Studio ,Joe Reynolds, InfoCraft , Debugging Parallel applications with Visual Studio ,Sean Kenney, Wipro ,Cross Platform Mobile Development with C# ,Jason Awbrey, PostDotNet Consulting, Improving Code Quality with Visual Studio ,Mike Huguet, Microsoft , Performance Tuning WCF Services ,Mike Huguet, Microsoft , Going Parallel - An Intro to Parallel programming in .NET ,Sean Kenney, Wipro 
 SQL Server, Room 302 , Getting Started with SSIS 2014 ,Tim Mitchell, Linchpin People ,Getting started with SQL Reporting Services ,Robert Stewart, TDECU, Handling Errors and Data Anomalies in SSIS ,Tim Mitchell, Linchpin People , Making Multi-dimensional Cubes Easy ,Robert Stewart, TDECU , SQL Server 2012 Analytic Functions ,John Cook, sqlblog.com , Writing Temporal Queries with Linq and StreamInsight ,J Sawyer, Hitachi Consulting 
 SharePoint, Room 303 , Build scalable SharePoint 2013 Staged Workflows to run locally and in the Cloud ,Brian Culver, Expert Point Solutions ,Introduction to the Sharepoint 2013 REST API,Cody Gros,Sparkhound, Performance Tuning SharePoint 2013 ,Jon Lua and Manny Acevedo, Microsoft , Best Practices for Security and Governance in SharePoint 2013 ,Antonio Maio, Protiviti , High Availability and Disaster Recovery for SharePoint ,David Frette, Moss Delight Services ,MI: Migration Impossible ,Thor M. Castillo, LogicBound Inc.
 Javascript, Room 304 , JavaScript for C# Developers ,Eric Burcham, Improving Enterprieses ,Making builds fun and easy with Gulp.js ,Jonathan Birkholz, Birkholz Creative,JavaScript Libraries that Non-JavaScript Developers Should Know ,Justin Self, Improving Enterprises, How to Grow a JavaScript Team: Legacy to Legendary ,Kenny McGarvey, , ClojureScript - simple/novel & powerful ,Shaun Williams, PROS , JavaScript/HTML5 Rich Clients Using Java EE 7 ,Jim Bethancourt, Triple Point Technology 
 Misc 1, Room 305 , Becoming a SharePoint Ninja - Agile Development Techniques for SharePoint ,Chris Weldon, Goldman Sachs ,HyperV for Developers ,J Sawyer, Hitachi Consulting, Bits and Atoms � the State of Personal Fabrication and Software Support. ,Phil Wheat, Singularity Innovations ,Deep Dive into 802.11ac ,David Black, Insource Technology, Talk to me � How to use speech recognition and .Net to make your own Jarvis ,Phil Wheat, Singularity Innovations , Introduction to CODE Framework ,Markus Egger, CODE Magazine/EPS Software Corp. 
 Career Dev, Room 306 ,Coding boot camps today ,David Graham, Coder Camps, Interview techniques that produce offers ,James Del Monte, jda professional services , Building software is a team sport: Women in Technology. ,Panel Discussion, Improving Enterprises,End User Driven Career Management ,Laquitta DeMerchant, Fuzion Apps Inc. , Mastering your Resume & Interview: Tips to Get Hired ,Christine Assaf, Waste Management ,Career Technical Education and the Software Industry: Exploring Partnerships ,Sammy Larbi,
 Agile, Room 308 , Managing SharePoint Projects with Agile and TFS ,Andy Boyet, Sparkhound ,Change Your Questions Change Your World ,Cherie Silas and Allison Pollard, Improving Enterprises, I have a Kanban Board- Now What? ,Allen Hurst, Improving Enterprises , Beyond Removing Impediments - Scrum Master as Team Coach ,Cherie Silas and Allison Pollard, Improving Enterprises ,Visualizing Agile Metrics ,Ryan Marsh, Improving Enterprises, What Is This Thing Called Agile Really About and Why Should I Care? ,Jo Hollen, VersionOne 
 SW Dev, Room 309 , Building a DevOps Culture ,Stephen Nimmo, SunGard Consulting Services ,Great Architecture is Easy ,Devlin Liles, Improving Enterprises, Continuous Delivery: Tools and Tactics ,Stephen Nimmo, SunGard Consulting Services , Foundations of a Modern IDE ,Breandan Considine, Jet Brains , Release your inner code Ninja ,Devlin Liles, Improving Enterprises , Logging for the Next Century: Using the Semantic Logging Application Block (SLAB) ,Shawn Weisfeld, UserGroup.tv 
 Data, Room 310 ,ABCs of SSIS ,Glenda Gable,,Introduction to Hadoop ,Ravi Mutyala, Hortonworks, Data Warehouse Indexes ,Glenda Gable, , The Power of Connected Data or Who�s Going To Buy Me A Beer ,Kevin Moormann, Pariveda Solutions , Mirroring Start to Finish ,Ryan Adams, Verizon , AlwaysOn Live Deployment ,Ryan Adams, Verizon 
